"YI","111, Inc.","8.04","103773847.8","12907195","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","4.98","29943564.72","n/a","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","25.3108","17717560","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.9168","59653810.0416","n/a","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","18.89","1211950060.32","n/a","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.5084","46369395.5868","n/a","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","18.74","161683247.92","n/a","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","45.61","1170715336.33","n/a","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","7.78","484522287.62","62277929","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","38.89","2273926223.02","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","20.6","63860000","3100000","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"JOBS","51job, Inc.","72.01","2571122018.69","35705069","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"JFKKU","8i Enterprises Acquisition Corp","10.07","50350000","n/a","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkku",
"EGHT","8x8 Inc","23.46","2244059215.08","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"AAON","AAON, Inc.","46.56","2426486552.16","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","7.05","339054437.4","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","3.1","0","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","1.22","9807654.42","n/a","2014","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
